Year,Global,NH,SH,WNP,ENP,NA,SI,SP,NI,WNP_RH600,WNP_RV850,WNP_AV850,WNP_VWS,WNP_W500,WNP_SST,WNP_SSS,WNP_MLD,WNP_D26,WNP_T100,WNP_TCHP,WNP_MPI,ENP_RH600,ENP_RV850,ENP_AV850,ENP_VWS,ENP_W500,ENP_SST,ENP_SSS,ENP_MLD,ENP_D26,ENP_T100,ENP_TCHP,ENP_MPI,NA_RH600,NA_RV850,NA_AV850,NA_VWS,NA_W500,NA_SST,NA_SSS,NA_MLD,NA_D26,NA_T100,NA_TCHP,NA_MPI,SI_RH600,SI_RV850,SI_AV850,SI_VWS,SI_W500,SI_SST,SI_SSS,SI_MLD,SI_D26,SI_T100,SI_TCHP,SI_MPI,SP_RH600,SP_RV850,SP_AV850,SP_VWS,SP_W500,SP_SST,SP_SSS,SP_MLD,SP_D26,SP_T100,SP_TCHP,SP_MPI,NI_RH600,NI_RV850,NI_AV850,NI_VWS,NI_W500,NI_SST,NI_SSS,NI_MLD,NI_D26,NI_T100,NI_TCHP,NI_MPI,Global_RH600,Global_RV850,Global_AV850,Global_VWS,Global_W500,Global_SST,Global_SSS,Global_MLD,Global_D26,Global_T100,Global_TCHP,Global_MPI
1980,72,49,23,23,15,11,14,9,0,57.21869,1.19E-06,3.87E-05,7.3017025,-0.037891746,28.9378,34.15953,29.19457,76.66361,28.080744,68.23861,76.43759,63.861256,-5.29E-07,3.09E-05,7.239342,-0.032642845,27.905207,33.551235,22.41841,39.247463,25.182016,26.637934,72.648994,56.8786,8.67E-07,3.23E-05,12.086604,-0.01258864,27.005728,35.738857,27.910135,41.10724,25.606583,21.403536,66.8266,54.24643,-6.48E-06,-3.18E-05,7.8024898,-0.024568556,28.515127,34.302803,24.346205,51.0417,26.852247,43.375286,79.339485,53.91287,-1.63E-06,-3.31E-05,10.565667,-0.03397269,28.781723,34.65456,30.336082,96.51704,28.372992,89.92728,79.61587,58.15053,2.97E-06,3.45E-05,22.882446,-0.028435739,28.5531,34.592594,33.172546,66.92228,27.58552,47.82948,73.177444,57.378063,2.10E-06,3.36E-05,11.313042,-0.028350035,28.283113,34.49993,27.896326,61.916553,26.946684,49.568684,74.674324
1981,71,54,17,28,15,11,12,5,0,58.571438,3.21E-07,3.79E-05,8.386834,-0.03857382,28.98146,34.11317,31.472557,85.38584,28.256226,78.09268,77.2525,62.997417,-8.42E-07,3.06E-05,8.355296,-0.02870212,27.673239,33.541794,23.061815,38.55625,25.028435,22.321524,72.26342,59.934788,2.97E-07,3.18E-05,12.9686775,-0.020374108,27.00559,35.618317,25.890661,38.78994,25.42275,19.631752,67.09368,52.463497,-6.11E-06,-3.14E-05,7.9326663,-0.02554393,28.360498,34.36425,25.154867,52.66435,26.725588,42.081524,78.7018,56.411774,-2.03E-06,-3.35E-05,12.552852,-0.048188474,28.619102,34.607517,31.140663,99.22816,28.310919,93.31613,78.7834,56.622845,3.63E-06,3.51E-05,22.923082,-0.027705474,28.348722,34.628494,34.502636,68.28434,27.52064,45.980724,72.50189,57.833622,1.92E-06,3.34E-05,12.186568,-0.031514656,28.16477,34.478924,28.5372,63.818146,26.877426,50.237392,74.43278
1982,72,53,19,25,23,5,14,5,0,53.842876,1.94E-06,3.95E-05,10.089662,-0.029702106,28.422462,34.217144,30.967743,75.841515,27.649109,56.038227,74.08419,61.172985,-7.91E-07,3.07E-05,7.2725296,-0.030469151,28.005548,33.461758,22.791552,42.1332,25.562704,31.24585,73.030914,58.95044,1.66E-07,3.16E-05,14.761125,-0.013540193,26.69097,35.801624,28.008337,34.27593,25.204363,15.115715,64.741295,51.68645,-6.02E-06,-3.13E-05,8.805488,-0.023162842,28.462626,34.348434,23.659897,53.03111,26.79667,43.288464,79.698296,57.390945,-1.47E-06,-3.29E-05,10.641505,-0.043157894,28.93733,34.48464,26.809565,102.51715,28.453764,96.80082,81.61482,55.47998,2.66E-06,3.41E-05,21.657667,-0.023981927,28.613726,34.69629,33.36959,67.99073,27.650866,48.269592,73.713036,56.420612,1.91E-06,3.34E-05,12.204662,-0.027335687,28.188776,34.501648,27.601114,62.631603,26.886246,48.459778,74.48043
1983,70,48,22,22,22,4,8,14,0,55.881023,-5.09E-07,3.70E-05,7.6537423,-0.029344639,28.950378,34.577633,29.612406,83.52548,28.273178,74.47492,76.4269,63.139606,5.69E-07,3.20E-05,7.4807,-0.033820592,28.147247,33.62981,25.798523,49.226086,26.398401,37.2517,73.646194,56.91097,-8.04E-08,3.14E-05,13.871219,-0.011078782,27.04217,35.796444,26.55604,38.058807,25.274979,18.54996,66.904236,57.830276,-5.84E-06,-3.11E-05,7.8165126,-0.035335444,28.84986,34.123035,22.350779,55.90942,27.290922,51.585083,79.35371,55.428875,-3.75E-06,-3.52E-05,9.701503,-0.043386146,28.74586,34.763996,25.964457,78.81265,28.027792,66.23991,78.663315,57.596664,3.66E-06,3.51E-05,22.34427,-0.03208868,28.641708,34.683346,34.57578,69.13647,27.742765,52.05245,73.24789,57.7979,2.21E-06,3.37E-05,11.477992,-0.03084238,28.396204,34.59571,27.476328,62.444824,27.168007,50.02567,74.70704
1984,88,60,28,27,21,12,18,10,0,59.436977,3.28E-09,3.76E-05,7.726753,-0.039029915,28.941168,34.360207,30.03243,92.77531,28.233603,84.05717,78.49089,61.671856,-2.17E-07,3.13E-05,7.912867,-0.03042456,27.498817,33.495987,22.566107,37.676556,24.984879,20.858364,72.47239,56.794006,1.33E-06,3.28E-05,12.629481,-0.015543143,26.691748,35.87571,25.856318,29.91207,24.971092,13.762591,65.26801,55.160778,-8.66E-06,-3.40E-05,9.217925,-0.029039891,28.110922,34.19204,22.469698,48.17174,26.332052,35.227478,76.9331,60.753036,1.48E-06,-3.00E-05,9.619777,-0.04551983,28.861494,34.364246,26.8659,94.48112,28.367197,90.39664,82.04764,53.106304,3.52E-06,3.50E-05,23.034227,-0.017752279,27.991823,34.69706,34.713802,64.092,27.184885,38.39164,71.24593,57.82049,1.97E-06,3.34E-05,11.690171,-0.029551603,28.015997,34.497543,27.084044,61.1848,26.678953,47.115646,74.40966
1985,88,60,28,25,24,11,16,12,0,59.152493,1.56E-07,3.77E-05,9.422611,-0.03867049,28.703506,34.26975,30.9597,84.29736,28.065485,69.37294,76.77955,63.644337,-1.11E-07,3.14E-05,6.9950814,-0.030841433,27.665543,33.569687,22.44821,38.75838,25.014725,22.905745,73.26003,58.556103,5.45E-07,3.20E-05,13.620636,-0.011163469,26.771849,35.98539,24.412561,31.245018,25.004091,14.420758,66.0318,49.887592,-6.12E-06,-3.14E-05,9.723524,-0.022474073,28.184395,34.42615,27.801437,53.735607,26.648605,41.16764,78.18632,56.911575,-4.38E-07,-3.19E-05,10.278424,-0.044193815,28.714745,34.378338,28.666214,103.41357,28.367233,92.39722,80.914894,54.46283,3.53E-06,3.50E-05,24.113523,-0.020195702,28.00149,34.703182,34.74689,63.413895,27.144613,37.493496,71.35067,57.10249,1.78E-06,3.32E-05,12.358967,-0.027923165,28.006922,34.555416,28.1725,62.477306,26.707457,46.29297,74.42054
1986,78,49,29,26,17,6,19,10,0,56.480747,1.64E-06,3.92E-05,8.770652,-0.035857458,28.636335,34.304005,30.715181,77.15366,27.907387,63.47398,75.2093,61.698685,-6.84E-07,3.08E-05,5.2394753,-0.02797853,27.7158,33.684017,23.267496,41.015987,25.20768,26.198217,72.32177,58.695004,6.15E-07,3.21E-05,13.134633,-0.013870061,26.588514,35.95343,27.271452,32.182907,24.980227,14.472881,64.11355,52.03108,-6.37E-06,-3.17E-05,9.118021,-0.02395846,28.151491,34.399662,26.095404,52.88397,26.639101,38.954304,76.8717,58.265057,-1.84E-06,-3.33E-05,10.546738,-0.051018823,28.793404,34.437668,30.943993,104.87234,28.462166,99.45472,80.607376,53.123398,3.00E-06,3.45E-05,22.018984,-0.016446253,28.132074,34.729847,32.723408,61.512753,27.166819,38.513504,71.044136,56.715656,2.13E-06,3.36E-05,11.471416,-0.028188264,28.002937,34.58477,28.502821,61.603603,26.727232,46.844604,73.361305
1987,69,49,20,22,21,6,7,13,0,55.40196,9.82E-07,3.85E-05,8.447391,-0.0335824,28.856897,34.350403,31.830904,81.47771,28.116026,70.518074,75.13209,61.924133,-7.88E-07,3.07E-05,8.174504,-0.03709588,28.325876,33.574345,23.202332,44.842525,25.964628,37.73514,74.2839,56.976242,4.96E-07,3.20E-05,12.775879,-0.015599675,27.49417,35.864582,24.903944,39.959957,25.54661,25.328241,69.09106,55.54922,-6.23E-06,-3.15E-05,7.4989533,-0.030315483,28.58782,34.198494,22.732817,52.910267,27.03099,46.531193,78.61267,52.82939,-4.90E-06,-3.64E-05,10.823972,-0.03537212,28.60258,34.664326,28.539476,89.16407,28.138853,76.84258,78.609764,55.741802,3.27E-06,3.47E-05,20.05698,-0.022781357,28.875795,34.76148,31.394783,67.585915,27.890009,54.92091,74.3605,56.403793,2.52E-06,3.40E-05,11.29628,-0.029124485,28.45719,34.568935,27.100708,62.65674,27.11452,51.979355,75.015
1988,67,50,17,25,14,11,11,6,0,61.22743,-1.27E-06,3.63E-05,8.683058,-0.040504795,29.187082,34.185505,32.157223,95.239876,28.619032,92.09546,78.865204,61.014782,-6.68E-07,3.08E-05,9.488458,-0.026808219,27.301516,33.664745,23.949938,36.49014,24.691496,17.910604,68.59135,59.37933,1.53E-06,3.30E-05,11.935715,-0.019082872,26.91626,35.798958,26.520227,37.616886,25.276716,19.313833,65.32944,49.1704,-6.94E-06,-3.22E-05,7.8505073,-0.019158375,28.686663,34.394,23.945684,53.209797,26.952353,46.34416,79.514046,60.927807,-1.20E-06,-3.27E-05,10.816697,-0.051264793,28.8554,34.509617,27.25457,95.22949,28.325453,88.57099,78.96775,55.399902,3.58E-06,3.51E-05,22.983599,-0.027113112,28.488161,34.60153,34.95933,68.619896,27.645357,49.839764,73.11452,57.85327,1.88E-06,3.33E-05,11.959672,-0.030655362,28.239182,34.525726,28.131163,64.40102,26.918402,52.3458,74.06371
1989,86,59,27,30,18,11,16,11,0,59.282337,9.10E-07,3.85E-05,8.681473,-0.040081054,28.74405,34.130856,31.034407,83.176346,28.108618,73.50712,76.259224,61.597717,-8.51E-07,3.06E-05,7.683227,-0.033402365,27.527748,33.658348,23.125961,36.716953,24.684853,20.155056,71.03306,56.829987,6.43E-07,3.21E-05,13.560542,-0.012950382,26.896347,35.85799,25.469706,34.36205,25.20259,17.715445,66.06548,53.816757,-7.00E-06,-3.23E-05,8.274102,-0.032589603,28.269049,34.30567,24.420626,53.33362,26.74241,41.818127,78.7275,61.118618,-2.02E-07,-3.17E-05,11.556588,-0.053134426,28.568367,34.30379,30.816767,109.95507,28.285025,96.44912,80.18548,56.33034,3.66E-06,3.51E-05,23.746004,-0.024866648,28.159014,34.481297,32.744457,64.362885,27.225767,38.947777,71.370804,58.16263,1.93E-06,3.34E-05,12.250323,-0.032837417,28.027428,34.45632,27.93532,63.651154,26.708212,48.098774,73.940254
1990,88,65,23,30,21,14,16,7,0,58.316395,2.23E-06,3.98E-05,9.680163,-0.04143381,28.682152,34.16299,30.09313,76.45426,27.980925,65.04067,74.71119,64.97408,-5.22E-07,3.10E-05,6.881902,-0.0353908,27.934175,33.462982,23.771814,40.117115,25.083727,27.442602,72.97516,59.220547,6.49E-07,3.21E-05,12.004476,-0.014415718,27.231085,35.782093,25.557749,38.7019,25.481895,22.162317,67.81161,54.8837,-5.83E-06,-3.11E-05,7.261872,-0.03102201,28.358107,34.320522,25.862967,54.01267,26.851316,44.239918,77.043755,54.157803,-3.87E-06,-3.53E-05,11.979535,-0.04351637,28.778185,34.60388,31.522493,102.15317,28.352905,89.65949,79.490326,56.62047,3.43E-06,3.49E-05,24.24826,-0.020854324,28.239431,34.491,34.79072,65.18609,27.309082,41.875786,70.285286,58.028828,2.58E-06,3.40E-05,12.009368,-0.031105505,28.203856,34.470577,28.599813,62.77087,26.843307,48.40347,73.71955
1991,67,50,17,29,14,7,12,5,0,57.124134,1.95E-06,3.95E-05,9.133789,-0.037173618,28.691893,34.14523,30.297152,73.59824,27.871733,61.883533,74.27336,63.25622,-9.79E-07,3.05E-05,6.341534,-0.03607467,27.926325,33.478214,23.507421,40.11383,25.256151,28.630468,72.22201,57.20991,4.73E-07,3.20E-05,13.797664,-0.011343986,26.71422,35.93303,26.89083,32.957508,25.007126,15.326035,62.82816,50.186993,-5.86E-06,-3.12E-05,8.292251,-0.02041509,28.555826,34.293743,26.099401,53.966457,26.903067,46.18921,79.05779,57.40828,-2.54E-06,-3.40E-05,10.423986,-0.03945702,28.863432,34.550163,28.525492,101.829865,28.500458,99.3721,79.505516,56.046284,3.01E-06,3.45E-05,22.979784,-0.026419064,28.424528,34.551384,34.61922,65.77658,27.517057,46.50919,72.017845,56.871975,2.14E-06,3.36E-05,11.828168,-0.028480573,28.196037,34.491962,28.323252,61.37375,26.8426,49.651752,73.31745
1992,88,64,24,29,29,6,12,12,0,55.02264,1.25E-06,3.88E-05,9.103496,-0.03344782,28.593863,34.439236,33.029797,79.36012,27.958496,64.07944,74.42997,64.380936,-5.60E-07,3.09E-05,7.011741,-0.03769319,27.87264,33.505474,25.82515,45.730366,25.678276,30.63931,72.71928,57.335236,2.95E-07,3.18E-05,13.799965,-0.008260966,26.780634,35.85488,27.34633,35.925014,25.139494,16.610949,65.77626,58.421703,-4.90E-06,-3.02E-05,8.116411,-0.034153763,28.409666,34.175777,24.668608,56.66039,27.036825,46.78094,77.93305,51.065693,-4.74E-06,-3.62E-05,10.335723,-0.039415736,28.540121,34.85094,30.92953,85.76423,28.048807,71.33676,78.23733,55.80168,4.74E-06,3.62E-05,22.218773,-0.0268802,28.262344,34.604504,34.272343,65.269356,27.326765,41.199432,72.25073,57.00465,2.56E-06,3.40E-05,11.764351,-0.02997528,28.076546,34.571804,29.345293,61.45158,26.864779,45.107807,73.55777
1993,75,52,23,29,15,8,11,12,0,55.28009,1.23E-06,3.88E-05,8.039772,-0.031046042,28.796364,34.33794,29.998117,76.84287,27.949057,64.1896,76.460304,63.377354,-7.66E-07,3.07E-05,6.4158998,-0.03615767,27.90657,33.606186,24.303345,41.27701,25.301218,27.51795,73.00242,57.783478,1.17E-06,3.27E-05,12.9743395,-0.009398684,26.826323,35.94296,27.301733,33.91772,25.187143,16.906708,64.56965,51.6611,-6.46E-06,-3.18E-05,8.132074,-0.024702387,28.18537,34.40724,24.73683,47.478043,26.275824,35.253857,77.2237,56.077663,-4.10E-06,-3.56E-05,11.170484,-0.03806684,28.341545,34.62033,30.91072,85.65261,27.944078,71.203285,76.88007,57.77373,3.69E-06,3.52E-05,22.96031,-0.025588743,28.43872,34.601936,34.15976,67.79658,27.50061,46.074116,72.80843,56.992237,2.65E-06,3.41E-05,11.615479,-0.027493397,28.082483,34.5861,28.568419,58.827473,26.692987,43.524258,73.49076
1994,89,62,27,34,21,7,21,6,0,54.819565,1.99E-06,3.96E-05,9.653272,-0.03491236,28.787912,34.149796,30.963121,76.34805,28.007357,67.20797,76.57835,63.079357,-8.83E-07,3.06E-05,5.497028,-0.028607644,28.015646,33.60828,20.900877,39.249744,25.16334,28.19278,74.054886,53.18323,1.20E-06,3.27E-05,11.849292,-0.003267578,26.58686,35.92371,25.221634,28.02874,24.735926,12.905846,62.11945,50.232998,-7.29E-06,-3.26E-05,8.357309,-0.025095144,28.104841,34.321003,24.348772,49.27332,26.424698,34.85446,76.296104,57.537395,-1.72E-06,-3.32E-05,9.573262,-0.04189041,28.76712,34.40801,28.666327,94.43637,28.295172,88.57023,79.544426,59.709915,1.78E-06,3.33E-05,23.722357,-0.027543098,28.192825,34.615543,35.420185,65.92917,27.32489,42.38656,71.22611,56.427074,2.18E-06,3.36E-05,11.442086,-0.026886038,28.075869,34.504387,27.586817,58.877563,26.658564,45.68631,73.30322
1995,73,54,19,25,10,19,14,5,0,57.08582,-5.47E-07,3.70E-05,7.5681396,-0.033521533,29.277725,34.19093,29.300406,77.97379,28.368341,77.33954,79.94453,62.871304,-2.87E-07,3.12E-05,9.5691185,-0.033543527,27.794481,33.666275,22.330435,35.935013,24.61705,21.308037,72.36106,59.14587,9.30E-07,3.24E-05,12.675755,-0.01618258,27.506826,35.87314,24.701935,41.2744,25.675186,25.973059,70.51687,52.676357,-6.47E-06,-3.18E-05,8.404102,-0.026446437,28.438698,34.30446,23.138319,49.493835,26.726255,39.963505,78.95997,56.444294,-1.72E-06,-3.32E-05,10.476466,-0.04127677,28.985346,34.504837,25.625107,92.953094,28.462042,91.884674,82.01006,57.357,4.54E-06,3.60E-05,22.80432,-0.025298009,28.517183,34.586597,33.659206,65.60932,27.54123,47.433605,72.713844,57.596775,2.14E-06,3.36E-05,11.916317,-0.029378144,28.420044,34.521038,26.459236,60.539906,26.898352,50.650402,76.08439
1996,77,52,25,31,8,13,17,8,0,57.28513,1.07E-07,3.77E-05,7.2890677,-0.036431145,29.168556,34.112003,30.342873,82.089325,28.367569,80.25968,79.27834,59.82375,-1.80E-06,2.97E-05,7.568836,-0.025248414,27.872896,33.617496,22.187775,35.910065,24.611076,22.3667,74.49377,55.540894,1.25E-06,3.27E-05,14.164673,-0.012397786,27.14945,35.880352,28.345062,36.135044,25.276434,19.207794,68.82228,54.046886,-7.22E-06,-3.25E-05,8.153572,-0.0289084,28.445055,34.2719,21.395212,44.327454,26.206833,35.303307,79.706245,57.71022,-6.79E-07,-3.22E-05,10.146058,-0.049863126,29.088501,34.629406,31.866102,108.53522,28.676102,110.1565,83.42182,57.54167,4.24E-06,3.57E-05,22.337126,-0.028869165,28.233507,34.517433,34.41482,66.42089,27.426298,44.29302,72.5645,56.991425,1.95E-06,3.34E-05,11.609889,-0.03028634,28.326326,34.504765,28.091974,62.236332,26.76072,51.931168,76.38116
1997,86,55,31,29,19,7,15,16,0,53.542164,1.42E-06,3.90E-05,9.025319,-0.026023785,28.798048,34.216858,28.064262,65.92034,27.715494,56.9583,76.73678,66.69574,1.02E-07,3.16E-05,7.174399,-0.054152135,28.703598,33.558563,21.791525,44.49716,26.01386,40.436436,78.01501,57.26437,1.06E-07,3.16E-05,12.259999,-0.007403344,27.387438,35.756702,25.310656,39.700977,25.45642,23.263224,69.303215,50.77135,-5.31E-06,-3.06E-05,10.172721,-0.025580838,28.361517,34.35669,25.720465,51.05847,26.537615,42.169586,79.27368,55.640385,-3.70E-06,-3.52E-05,11.688854,-0.045890305,28.749002,34.821323,32.899807,107.13455,28.383081,95.84274,80.19573,58.58906,2.73E-07,3.18E-05,20.570738,-0.025327576,28.886522,34.598186,33.613857,69.41596,27.90032,55.637543,75.95839,57.083843,1.82E-06,3.33E-05,11.815338,-0.030729664,28.48102,34.551388,27.900095,62.95458,27.001131,52.38464,76.58047
1998,72,43,29,16,13,14,10,19,0,56.492645,-1.69E-06,3.59E-05,8.789204,-0.03178339,29.446585,34.544254,32.449085,95.474266,28.82915,98.51615,80.38144,66.500244,-1.76E-07,3.13E-05,9.030091,-0.043988448,28.13252,33.72642,25.971895,45.41585,25.89817,32.93794,74.43162,58.198917,1.26E-06,3.27E-05,12.933122,-0.013038938,27.50649,35.890217,26.309738,43.39616,25.692736,28.344156,69.34963,54.470043,-6.24E-06,-3.15E-05,8.227853,-0.031736355,29.095734,34.434734,25.94532,59.877064,27.478792,62.22258,81.21587,55.34586,-3.79E-06,-3.53E-05,12.038612,-0.045390427,28.867048,34.888477,26.487814,79.50033,28.110466,68.30465,78.93025,59.694366,5.18E-06,3.67E-05,24.413836,-0.030028028,28.797081,34.595016,33.797405,66.32183,27.680183,52.639988,74.55482,58.450348,2.43E-06,3.39E-05,12.57212,-0.03266093,28.64091,34.67985,28.493544,64.99758,27.28158,57.160908,76.47727
1999,65,42,23,20,10,12,14,9,0,63.55866,-9.39E-08,3.75E-05,8.788924,-0.046015304,29.226538,34.32348,33.00505,98.48267,28.644157,96.007324,81.055695,63.16866,-5.15E-07,3.10E-05,11.084606,-0.028233176,27.437872,33.762062,22.012339,32.846237,24.357582,17.232323,71.76893,58.38532,1.87E-06,3.33E-05,11.364018,-0.014882628,27.067327,35.758945,23.162127,35.37251,25.18863,20.129301,67.3264,47.839123,-8.67E-06,-3.40E-05,9.866319,-0.014604804,28.221352,34.56895,22.520386,45.196743,25.867828,33.60632,79.7711,64.78442,2.36E-06,-2.91E-05,10.35889,-0.05367428,28.97653,34.489464,29.716196,99.05468,28.45164,94.68295,83.36479,56.481014,3.02E-06,3.45E-05,25.10584,-0.022698032,28.304152,34.66533,34.51805,64.362015,27.271128,41.588905,73.418816,59.036198,1.76E-06,3.32E-05,12.761433,-0.030018037,28.205627,34.594704,27.489023,62.55248,26.630163,50.541183,76.11762
